ParameterName, ene_min, ene_max, erec_minus_ene_min, erec_minus_ene_max
enu_erec_minus_enu_156, 0.9184172, 1.52906693, -1.29633610e-01, -1.26673180e-01
enu_erec_minus_enu_157, 0.9184172, 1.52906693, -1.26673180e-01, -1.23219345e-01
enu_erec_minus_enu_158, 0.9184172, 1.52906693, -1.23219345e-01, -1.20258915e-01
enu_erec_minus_enu_159, 0.9184172, 1.52906693, -1.20258915e-01, -1.17298486e-01
enu_erec_minus_enu_160, 0.9184172, 1.52906693, -1.17298486e-01, -1.14338056e-01
enu_erec_minus_enu_161, 0.9184172, 1.52906693, -1.14338056e-01, -1.10884221e-01
enu_erec_minus_enu_162, 0.9184172, 1.52906693, -1.10884221e-01, -1.07923791e-01
enu_erec_minus_enu_163, 0.9184172, 1.52906693, -1.07923791e-01, -1.04963361e-01
enu_erec_minus_enu_164, 0.9184172, 1.52906693, -1.04963361e-01, -1.02002931e-01
enu_erec_minus_enu_165, 0.9184172, 1.52906693, -1.02002931e-01, -9.90425012e-02
enu_erec_minus_enu_166, 0.9184172, 1.52906693, -9.90425012e-02, -9.60820713e-02
enu_erec_minus_enu_167, 0.9184172, 1.52906693, -9.60820713e-02, -9.31216414e-02
enu_erec_minus_enu_168, 0.9184172, 1.52906693, -9.31216414e-02, -9.01612115e-02
enu_erec_minus_enu_169, 0.9184172, 1.52906693, -9.01612115e-02, -8.72007816e-02
enu_erec_minus_enu_170, 0.9184172, 1.52906693, -8.72007816e-02, -8.42403517e-02
enu_erec_minus_enu_171, 0.9184172, 1.52906693, -8.42403517e-02, -8.12799218e-02
enu_erec_minus_enu_172, 0.9184172, 1.52906693, -8.12799218e-02, -7.83194919e-02
enu_erec_minus_enu_173, 0.9184172, 1.52906693, -7.83194919e-02, -7.53590620e-02
enu_erec_minus_enu_174, 0.9184172, 1.52906693, -7.53590620e-02, -7.23986321e-02
enu_erec_minus_enu_175, 0.9184172, 1.52906693, -7.23986321e-02, -6.99316072e-02
enu_erec_minus_enu_176, 0.9184172, 1.52906693, -6.99316072e-02, -6.69711773e-02
enu_erec_minus_enu_177, 0.9184172, 1.52906693, -6.69711773e-02, -6.40107474e-02
enu_erec_minus_enu_178, 0.9184172, 1.52906693, -6.40107474e-02, -6.10503175e-02
enu_erec_minus_enu_179, 0.9184172, 1.52906693, -6.10503175e-02, -5.80898876e-02
enu_erec_minus_enu_180, 0.9184172, 1.52906693, -5.80898876e-02, -5.51294577e-02
enu_erec_minus_enu_181, 0.9184172, 1.52906693, -5.51294577e-02, -5.21690278e-02
enu_erec_minus_enu_182, 0.9184172, 1.52906693, -5.21690278e-02, -4.92085979e-02
enu_erec_minus_enu_183, 0.9184172, 1.52906693, -4.92085979e-02, -4.62481681e-02
enu_erec_minus_enu_184, 0.9184172, 1.52906693, -4.62481681e-02, -4.27943332e-02
enu_erec_minus_enu_185, 0.9184172, 1.52906693, -4.27943332e-02, -3.98339033e-02
enu_erec_minus_enu_186, 0.9184172, 1.52906693, -3.98339033e-02, -3.68734734e-02
enu_erec_minus_enu_187, 0.9184172, 1.52906693, -3.68734734e-02, -3.39130435e-02
enu_erec_minus_enu_188, 0.9184172, 1.52906693, -3.39130435e-02, -3.09526136e-02
enu_erec_minus_enu_189, 0.9184172, 1.52906693, -3.09526136e-02, -2.74987787e-02
enu_erec_minus_enu_190, 0.9184172, 1.52906693, -2.74987787e-02, -2.45383488e-02
enu_erec_minus_enu_191, 0.9184172, 1.52906693, -2.45383488e-02, -2.10845139e-02
enu_erec_minus_enu_192, 0.9184172, 1.52906693, -2.10845139e-02, -1.81240840e-02
enu_erec_minus_enu_193, 0.9184172, 1.52906693, -1.81240840e-02, -1.46702491e-02
enu_erec_minus_enu_194, 0.9184172, 1.52906693, -1.46702491e-02, -1.12164143e-02
enu_erec_minus_enu_195, 0.9184172, 1.52906693, -1.12164143e-02, -7.76257938e-03
enu_erec_minus_enu_196, 0.9184172, 1.52906693, -7.76257938e-03, -4.30874450e-03
enu_erec_minus_enu_197, 0.9184172, 1.52906693, -4.30874450e-03, -8.54909624e-04
enu_erec_minus_enu_198, 0.9184172, 1.52906693, -8.54909624e-04, 2.59892526e-03
enu_erec_minus_enu_199, 0.9184172, 1.52906693, 2.59892526e-03, 6.54616512e-03
enu_erec_minus_enu_200, 0.9184172, 1.52906693, 6.54616512e-03, 1.00000000e-02
enu_erec_minus_enu_201, 1.52906693, 2.02735711, -1.00000000e+00, -6.82740596e-01
enu_erec_minus_enu_202, 1.52906693, 2.02735711, -6.82740596e-01, -6.05276014e-01
enu_erec_minus_enu_203, 1.52906693, 2.02735711, -6.05276014e-01, -5.55442110e-01
enu_erec_minus_enu_204, 1.52906693, 2.02735711, -5.55442110e-01, -5.17943332e-01
enu_erec_minus_enu_205, 1.52906693, 2.02735711, -5.17943332e-01, -4.87845628e-01
enu_erec_minus_enu_206, 1.52906693, 2.02735711, -4.87845628e-01, -4.62681974e-01
enu_erec_minus_enu_207, 1.52906693, 2.02735711, -4.62681974e-01, -4.41465559e-01
enu_erec_minus_enu_208, 1.52906693, 2.02735711, -4.41465559e-01, -4.22222765e-01
enu_erec_minus_enu_209, 1.52906693, 2.02735711, -4.22222765e-01, -4.05446996e-01
enu_erec_minus_enu_210, 1.52906693, 2.02735711, -4.05446996e-01, -3.90151441e-01
enu_erec_minus_enu_211, 1.52906693, 2.02735711, -3.90151441e-01, -3.76336102e-01
enu_erec_minus_enu_212, 1.52906693, 2.02735711, -3.76336102e-01, -3.63507572e-01
enu_erec_minus_enu_213, 1.52906693, 2.02735711, -3.63507572e-01, -3.52159257e-01
enu_erec_minus_enu_214, 1.52906693, 2.02735711, -3.52159257e-01, -3.41304348e-01
enu_erec_minus_enu_215, 1.52906693, 2.02735711, -3.41304348e-01, -3.30942843e-01
enu_erec_minus_enu_216, 1.52906693, 2.02735711, -3.30942843e-01, -3.21568149e-01
enu_erec_minus_enu_217, 1.52906693, 2.02735711, -3.21568149e-01, -3.12193454e-01
enu_erec_minus_enu_218, 1.52906693, 2.02735711, -3.12193454e-01, -3.03805569e-01
enu_erec_minus_enu_219, 1.52906693, 2.02735711, -3.03805569e-01, -2.95911089e-01
enu_erec_minus_enu_220, 1.52906693, 2.02735711, -2.95911089e-01, -2.88016610e-01
enu_erec_minus_enu_221, 1.52906693, 2.02735711, -2.88016610e-01, -2.81108940e-01
enu_erec_minus_enu_222, 1.52906693, 2.02735711, -2.81108940e-01, -2.73707865e-01
enu_erec_minus_enu_223, 1.52906693, 2.02735711, -2.73707865e-01, -2.67293600e-01
enu_erec_minus_enu_224, 1.52906693, 2.02735711, -2.67293600e-01, -2.60879336e-01
enu_erec_minus_enu_225, 1.52906693, 2.02735711, -2.60879336e-01, -2.54465071e-01
enu_erec_minus_enu_226, 1.52906693, 2.02735711, -2.54465071e-01, -2.48544211e-01
enu_erec_minus_enu_227, 1.52906693, 2.02735711, -2.48544211e-01, -2.43116756e-01
enu_erec_minus_enu_228, 1.52906693, 2.02735711, -2.43116756e-01, -2.37689301e-01
enu_erec_minus_enu_229, 1.52906693, 2.02735711, -2.37689301e-01, -2.32261847e-01
enu_erec_minus_enu_230, 1.52906693, 2.02735711, -2.32261847e-01, -2.26834392e-01
enu_erec_minus_enu_231, 1.52906693, 2.02735711, -2.26834392e-01, -2.21900342e-01
enu_erec_minus_enu_232, 1.52906693, 2.02735711, -2.21900342e-01, -2.16966292e-01
enu_erec_minus_enu_233, 1.52906693, 2.02735711, -2.16966292e-01, -2.12525647e-01
enu_erec_minus_enu_234, 1.52906693, 2.02735711, -2.12525647e-01, -2.08085002e-01
enu_erec_minus_enu_235, 1.52906693, 2.02735711, -2.08085002e-01, -2.03150953e-01
enu_erec_minus_enu_236, 1.52906693, 2.02735711, -2.03150953e-01, -1.99203713e-01
enu_erec_minus_enu_237, 1.52906693, 2.02735711, -1.99203713e-01, -1.94763068e-01
enu_erec_minus_enu_238, 1.52906693, 2.02735711, -1.94763068e-01, -1.90322423e-01
enu_erec_minus_enu_239, 1.52906693, 2.02735711, -1.90322423e-01, -1.86375183e-01
enu_erec_minus_enu_240, 1.52906693, 2.02735711, -1.86375183e-01, -1.82427943e-01
enu_erec_minus_enu_241, 1.52906693, 2.02735711, -1.82427943e-01, -1.78480703e-01
enu_erec_minus_enu_242, 1.52906693, 2.02735711, -1.78480703e-01, -1.74533464e-01
enu_erec_minus_enu_243, 1.52906693, 2.02735711, -1.74533464e-01, -1.71079629e-01
enu_erec_minus_enu_244, 1.52906693, 2.02735711, -1.71079629e-01, -1.67132389e-01
enu_erec_minus_enu_245, 1.52906693, 2.02735711, -1.67132389e-01, -1.63678554e-01
enu_erec_minus_enu_246, 1.52906693, 2.02735711, -1.63678554e-01, -1.59731314e-01
enu_erec_minus_enu_247, 1.52906693, 2.02735711, -1.59731314e-01, -1.56277479e-01
enu_erec_minus_enu_248, 1.52906693, 2.02735711, -1.56277479e-01, -1.52823644e-01
